key,lemma,pos,gloss,notes
n_coat,katuanwil,noun,coat,
n_coffee,kohi,noun,coffee,
n_cold,tuwong,noun,cold,
n_college,nedotsuan,noun,college,
n_comfort,gonpyi,noun,comfort,
n_common,rukhe,noun,common,
n_community,ka,noun,community,
n_computer,hanluto,noun,computer,
n_computer_program,nubiakhyin,noun,computer program,
n_condo,ngekhi,noun,condo,
n_copper,puekhogue,noun,copper,
n_corner,gie,noun,corner,
n_corridor,kuawi,noun,corridor,
n_cost,langwi,,,
n_court,ngoso,noun,court,
n_cow,lepgkus,noun,cow,
n_danger,bappiu,noun,danger,
n_dark,letie,noun,dark,
n_date,nuenu,noun,date,
n_day,siu,noun,day,
n_daytime,towa,noun,daytime,
n_decade,witngit,noun,decade,
n_december,rawittua,noun,december,
n_delicacy0,mepuska,noun,delicacy0,
n_delicacy1,mieremui,noun,delicacy1,
n_delicacy2,sedyisias,noun,delicacy2,
n_delicacy3,minggilung,noun,delicacy3,
n_desire,buogiu,noun,desire,
n_desk,ngopa,noun,desk,
n_diamond,weguoyek,noun,diamond,
n_digit,komui,noun,digit,
n_dimension,khari,noun,dimension,
n_direction,khyipuk,noun,direction,
n_dish0,nuelin,noun,dish0,
n_dish1,kemwunan,noun,dish1,
n_dish2,miehim,noun,dish2,
n_dish3,mesgkogi,noun,dish3,
n_dish4,wumabes,noun,dish4,
n_dish5,mopepon,noun,dish5,
n_dish6,hionat,noun,dish6,
n_dish7,niutse,noun,dish7,
n_doctor,huosua,noun,doctor,
n_dog,me,noun,dog,
n_dot,tsa,noun,dot,
n_down,khok,noun,down,
n_dress,mukne,noun,dress,
n_durian,ba,noun,durian,
n_dust,tideng,noun,dust,
n_east,ta,noun,east,
n_edge,heng,noun,edge,
n_elbow,moyunwu,noun,elbow,
n_embarrass,tsesgo,,,
n_end,got,,,
n_england,yinglan,noun,england,
n_evening,lokhi,noun,evening,
n_excited,khuala,noun,excited,
n_exterior,buk,noun,exterior,
n_face,ngibe,,,
n_fame,muokup,noun,fame,
n_fan,biegiuwing,noun,fan,
n_farm,desing,noun,farm,
n_february,ratua,noun,february,
n_feeling,ngopuo,noun,feeling,
n_finger,hekomui,noun,finger,
n_fire,yu,noun,fire,
n_fish,wu,noun,fish,
n_fish_meat,wudu,noun,fish meat,
n_floor,totie,noun,floor,
n_flower,khias,noun,flower,
n_food,engtsik,noun,food,
n_foot,ro,noun,foot,
n_foot(measure),pa,noun,foot(measure),
n_forest,yi,noun,forest,
n_friday,tsimsiu,noun,friday,
n_friend,nope,noun,friend,
n_front,gal,noun,front,
n_fruit,swuri,,,
n_fruit0,khonggo,noun,fruit0,
n_fruit1,niugwu,noun,fruit1,
n_fruit2,hema,noun,fruit2,
n_fruit3,tsui,noun,fruit3,
n_fruit4,sugio,noun,fruit4,
n_fruit5,hil,noun,fruit5,
n_fruit6,nugio,noun,fruit6,
n_fruit7,kyinyi,noun,fruit7,
n_germany,dotslang,noun,germany,
n_glass,ngokho,noun,glass,
n_glasses,kokhengwu,noun,glasses,
n_gold,miedi,noun,gold,
n_grass,dianem,noun,grass,
n_ground,tietsue,noun,ground,
n_guitar,gita,,,
n_hair,kuguok,noun,hair,
n_half,tueng,noun,half,
n_hand,he,noun,hand,
n_happy,topi,noun,happy,
n_hat,nontsuongsua,noun,hat,
n_head,sat,noun,head,
n_health,tyine,noun,health,
n_heat,tsop,noun,heat,
n_height,de,noun,height,
n_heptagon,nultsin,noun,heptagon,
n_hexagon,sumtsin,noun,hexagon,
n_hill,si,noun,hill,
n_hole,taki,noun,hole,
n_home,ngatsak,noun,home,
n_horse,sel,noun,horse,
n_hospital,luhwolo,noun,hospital,
n_hotel,buisyi,noun,hotel,
n_house,kali,noun,house,
n_ice,pui,noun,ice,
n_image,pikhial,noun,image,
n_inch,muin,noun,inch,
n_ingredient0,tsonggang,noun,ingredient0,
n_ingredient1,nguinyo,noun,ingredient1,
n_ingredient2,swune,noun,ingredient2,
n_ingredient3,piunbete,noun,ingredient3,
n_ingredient4,munggol,noun,ingredient4,
n_ingredient5,gekhionyu,noun,ingredient5,
n_ingredient6,dunngwu,noun,ingredient6,
n_ingredient7,nuiko,noun,ingredient7,
n_injury,wotgo,noun,injury,
n_inside,lengtui,noun,inside,
n_interior,lus,noun,interior,
n_island,du,noun,island,
n_item,bessi,noun,item,
n_jacket,ngidui,noun,jacket,
n_january,metua,noun,january,
n_japan,ngihon,noun,japan,
n_joint,yunwu,noun,joint,
n_july,nultua,noun,july,
n_june,sumtua,noun,june,
n_keyboard,wewagak,noun,keyboard,
n_kilogram,re,noun,kilogram,
n_knee,hueyunwu,noun,knee,
n_korea,hangguk,noun,korea,
n_lake,hot,noun,lake,
n_lamp,kumtio,noun,lamp,
n_laptop,kuakhoke,noun,laptop,
n_law,teye,noun,law,
n_lawyer,teyetui,noun,lawyer,
n_leaf,buip,noun,leaf,
n_left,tsepyi,noun,left,
n_leg,hue,noun,leg,
n_legume0,yomuo,noun,legume0,
n_legume1,khuetsi,noun,legume1,
n_legume2,guetmi,noun,legume2,
n_legume3,nunes,noun,legume3,
n_legume4,nokmwupo,noun,legume4,
n_legume5,sobemin,noun,legume5,
n_legume6,hekokhen,noun,legume6,
n_legume7,nguingge,noun,legume7,
n_library,tuotu,noun,library,
n_light,syipa,noun,light,
n_line,tam,noun,line,
n_lion,dyimie,noun,lion,
n_location,pakuon,noun,location,
n_manager,tumkhellotui,noun,manager,
n_managing,tumkhello,noun,managing,
n_mango,no,noun,mango,
n_march,haptua,noun,march,
n_market,ponkhanhel,noun,market,
n_material,nuikiu,noun,material,
n_may,tsimtua,noun,may,
n_meaning,gin,noun,meaning,
n_meat,du,noun,meat,
n_medicine,ringniokuis,noun,medicine,
n_metal,nang,noun,metal,
n_metre,bui,noun,metre,
n_midnight,kiosngwonsose,noun,midnight,
n_miliary,piusiha,noun,miliary,
n_millennium,tsipngit,noun,millennium,
n_monday,mesiu,noun,monday,
n_month,tua,noun,month,
n_moon,donggu,noun,moon,
n_moped,kiutu,noun,moped,
n_morning,niopgu,noun,morning,
n_motorcycle,dusayu,noun,motorcycle,
n_mountain,khies,noun,mountain,
n_mouse,yogkuhio,noun,mouse,
n_nature,yihiu,noun,nature,
n_nearby,mel,noun,nearby,
n_necessity,khiyo,noun,necessity,
n_neck,satiunwu,noun,neck,
n_neighbourhood,nguiha,noun,neighbourhood,
n_nervous,mihui,noun,nervous,
n_network,biosia,noun,network,
n_nighttime,sose,noun,nighttime,
n_noise,tsoknuo,noun,noise,
n_noodle,die,noun,noodle,
n_noon,kiosngwontowa,noun,noon,
n_north,tuo,noun,north,
n_november,mewittua,noun,november,
n_null,ko,noun,(null/dummy nominal),
n_number,huo,noun,number,
n_numeral,gugku,noun,numeral,
n_nurse,buasmo,noun,nurse,
n_obligation,kiure,noun,obligation,
n_occupation,khangwi,noun,occupation,
n_occupation0,ritsatui,noun,occupation0,
n_occupation1,khuilotui,noun,occupation1,
n_occupation2,piawitui,noun,occupation2,
n_occupation3,todiomtui,noun,occupation3,
n_occupation4,hiaptiptui,noun,occupation4,
n_occupation5,nokyitui,noun,occupation5,
n_occupation6,khakitui,noun,occupation6,
n_occupation7,yikhwuttui,noun,occupation7,
n_occupational_task0,ritsa,noun,occupational task0,
n_occupational_task1,khuilo,noun,occupational task1,
n_occupational_task2,piawi,noun,occupational task2,
n_occupational_task3,todiom,noun,occupational task3,
n_occupational_task4,hiaptip,noun,occupational task4,
n_occupational_task5,nokyi,noun,occupational task5,
n_occupational_task6,khaki,noun,occupational task6,
n_occupational_task7,yikhwut,noun,occupational task7,
n_ocean,nionus,noun,ocean,
n_octagon,ngattsin,noun,octagon,
n_october,wittua,noun,october,
n_office,khakhungwo,noun,office,
n_organization,tsusawa,noun,organization,
n_outer_space,wikhu,noun,outer space,
n_outside,mipyi,noun,outside,
n_pain,tswotsan,noun,pain,
n_panty,tere,noun,panty,
n_paper,pioga,noun,paper,
n_park,khuoba,noun,park,
n_part,gieptiu,noun,part,
n_pattern,polnua,noun,pattern,
n_pearl,otmo,noun,pearl,
n_pen,niuhia,noun,pen,
n_pencil,hangswul,noun,pencil,
n_pentagon,tsimtsin,noun,pentagon,
n_permission,tuilbiam,noun,permission,
n_person,tui,noun,person,
n_piano,piano,,,
n_piece,sadwe,noun,piece,
n_pig,pires,noun,pig,
n_plane,tse,noun,plane,
n_planet,khe,noun,planet,
n_plant,hukhwe,noun,plant,
n_plastic,yatop,noun,plastic,
n_pocket,tswuli,noun,pocket,
n_point,kia,noun,point,
n_police_officer,khwunduitui,noun,police officer,
n_policing,khwundui,noun,policing,
n_pork,piresdu,noun,pork,
n_potential,khedu,noun,potential,
n_pound,ti,noun,pound,
n_protein0,tudu,noun,protein0,
n_protein1,khedu,noun,protein1,
n_protein2,ngikyidu,noun,protein2,
n_protein3,gkodu,noun,protein3,
n_protein4,nuidu,noun,protein4,
n_protein5,gedu,noun,protein5,
n_protein6,dedu,noun,protein6,
n_protein7,khyitwudu,noun,protein7,
n_question,yektsam,noun,question,
n_radio,monkibuk,noun,radio,
n_rain,ge,noun,rain,
n_rainbow,gesyip,noun,rainbow,
n_recently,ngingwi,,,
n_receptionist,tsusawatui,noun,receptionist,
n_recommendation,toppwu,noun,recommendation,
n_rectangle,moltsin,noun,rectangle,
n_region,khabie,noun,region,
n_reporter,lenutui,noun,reporter,
n_reporting,lenu,noun,reporting,
n_restaurant,pukhia,noun,restaurant,
n_rice,me,noun,rice,
n_right,nihik,noun,right,
n_river,pakia,noun,river,
n_road,bui,noun,road,
n_room,gko,noun,room,
n_root,rete,noun,root,
n_sad,giakhyi,noun,sad,
n_safety,puohie,noun,safety,
n_sailboat,sitki,noun,sailboat,
n_sand,tsatsa,noun,sand,
n_saturday,sumsiu,noun,saturday,
n_school,nyihenuo,noun,school,
n_screen,tsungmiopep,noun,screen,
n_sea,gip,noun,sea,
n_seed,gosi,noun,seed,
n_semelfactive,soha,noun,semelfactive,
n_september,bestua,noun,september,
n_shape,hie,noun,shape,
n_ship,kop,noun,ship,
n_shirt,ngwotuowe,noun,shirt,
n_shoes,tobita,noun,shoes,
n_shop,kopi,noun,shop,
n_shorts,hogate,noun,shorts,
n_side,tsin,noun,side,
n_silver,lipdu,noun,silver,
n_skirt,binguohe,noun,skirt,
n_sky,lukho,noun,sky,
n_sleepy,ngomo,,,
n_snow,dekho,noun,snow,
n_soil,go,noun,soil,
n_soldier,piusihatui,noun,soldier,
n_sound,laphyi,noun,sound,
n_south,tia,noun,south,
n_space,tio,noun,space,
n_speech,tsek,noun,speech,
n_spot,nge,noun,spot,
n_square,ni,noun,square,
n_star,wus,noun,star,
n_start,tsitsak,,,
n_state,ngakhan,noun,state,
n_station,nguikyi,noun,station,
n_sticker,muebyitseng,noun,sticker,
n_stone,hobe,noun,stone,
n_stop,ho,noun,stop,
n_straight,tego,noun,straight,
n_street,lot,noun,street,
n_student,khulitui,noun,student,
n_studying,khuli,noun,studying,
n_subway,tesdo,noun,subway,
n_suit,bobiu,noun,suit,
n_sun,khin,noun,sun,
n_sunday,nulsiu,noun,sunday,
n_surrounding,bik,noun,surrounding,
n_t-shirt,kanlokha,noun,t-shirt,
n_table,konyang,noun,table,
n_tea,tsa,noun,tea,
n_teacher,kuissilotui,noun,teacher,
n_teaching,kuissilo,noun,teaching,
n_television,pwunungwol,noun,television,
n_temperature,huo,noun,temperature,
n_thankful,khiague,noun,thankful,
n_theater,kiemkhie,noun,theater,
n_thesedays,kulyi,,,
n_thought,bip,noun,thought,
n_thursday,molsiu,noun,thursday,
n_ticket,to,noun,ticket,
n_time,dotngua,noun,time,
n_today,tiakbal,noun,today,
n_toe,rokomui,noun,toe,
n_town,wa,noun,town,
n_townhouse,tsare,noun,townhouse,
n_trackpad,sietiu,noun,trackpad,
n_train,gkorukpe,noun,train,
n_tram,khakhut,noun,tram,
n_transportation,miewa,noun,transportation,
n_tree,pium,noun,tree,
n_triangle,haptsin,noun,triangle,
n_trousers,nenhigwu,noun,trousers,
n_tuesday,rasiu,noun,tuesday,
n_underwear,nuolsiude,noun,underwear,
n_university,wukigis,noun,university,
n_up,hop,noun,up,
n_valley,bingya,noun,valley,
n_vegetable0,songwo,noun,vegetable0,
n_vegetable1,sotsari,noun,vegetable1,
n_vegetable2,hahiere,noun,vegetable2,
n_vegetable3,byimwu,noun,vegetable3,
n_vegetable4,wobomkhop,noun,vegetable4,
n_vegetable5,ngepyim,noun,vegetable5,
n_vegetable6,sowotuep,noun,vegetable6,
n_vegetable7,torokmia,noun,vegetable7,
n_vietnam,bietnam,noun,vietnam,
n_waist,wapkuo,noun,waist,
n_waiter,kekhokka,noun,waiter,
n_walking,like,noun,walking,
n_wall,kiga,noun,wall,
n_wave,ri,noun,wave,
n_way,yi,noun,way,
n_weather,dyitual,noun,weather,
n_wednesday,hapsiu,noun,wednesday,
n_weight,nuam,noun,weight,
n_west,tia,noun,west,
n_whale,tlungro,noun,whale,
n_whole,ku,noun,whole,
n_wind,de,noun,wind,
n_wolf,lome,noun,wolf,
n_wood,kuro,noun,wood,
n_world,duohyi,noun,world,
n_worry,nagui,noun,worry,
n_wrist,heyunwu,noun,wrist,
n_writer,tuapbupngestui,noun,writer,
n_writing,tuapbupnges,noun,writing,
n_year,ngit,noun,year,
no,dus,negation,no,
p_acc,ka,case marker,accusative,
p_adv,ni,particle,adverbializer,
p_also,ki,semantic particle,"also, too",
p_but,de,conjunction,but,
p_cause,do,conjunction,because,
p_cond,ma,conjunction,if,
p_conj,ya,conjunction,and,
p_dat,si,case marker,dative,
p_disj,tsi,conjunction,or,
p_gen,tu,case marker,genitive,
p_ins,yi,case marker,instrumental,
p_loc,bi,case marker,locative,
p_neg1,ha,negation,not (negation),
p_neg2,hen,negation,not (negation),
p_nom,de,case marker,nominative,
p_only,tul,semantic particle,only,
p_top,ngom,case marker,topic,
p_with,kat,semantic particle,with,
q_class,to,classifier,classifier,
qu_how,gi,interrogative,how,
qu_what,pi,interrogative,what,
qu_when,mu,interrogative,when,
qu_where,ni,interrogative,where,
qu_which,hi,interrogative,which,
qu_who,bu,interrogative,who,
qu_why,pu,interrogative,why,
t_fut,ne,tense marker,future,
t_inf,lo,tense marker,infinitive,
t_prs,wu,tense marker,present,
t_pst,na,tense marker,past,
v_become,khe,verb,become,
v_bring,yakno,verb,bring,
v_buy,mun,verb,buy,
v_cause,nge,verb,cause,
v_come,tsa,verb,come,
v_cop,ya,predicate,be (copula),
v_do,sa,verb,do,
v_drink,tukhi,verb,drink,
v_eat,hiu,verb,eat,
v_exist,ga,predicate,"exist, there is",
v_getup,metsis,,,
v_give,men,verb,give,
v_go,yu,verb,go,
v_have,tiung,verb,have,
v_know,ngol,,,
v_nothave,pie,verb,not have,
v_read,wo,verb,read,
v_receive,tsu,verb,receive,
v_see,die,verb,see,
v_sell,hel,verb,sell,
v_sit,gu,verb,sit,
v_sleep,ki,verb,sleep,
v_trim,dal,verb,trim,
v_use,tse,verb,use,
yes,tsi,particle,yes,
