key,lemma,underlying,pos,gloss,notes
n_desk,ngopa,/ŋopa/,noun,desk,
n_diamond,weguoyek,/weɡwojek/,noun,diamond,
n_digit,komui,/komwi/,noun,digit,
n_dimension,khari,/xaɾi/,noun,dimension,
n_direction,khyipuk,/xjipuk/,noun,direction,
n_dish0,nuelin,/nwelin/,noun,dish0,
n_dish1,kemwunan,/kemwunan/,noun,dish1,
n_dish2,miehim,/mjehim/,noun,dish2,
n_dish3,mesgkogi,/mesqoɡi/,noun,dish3,
n_dish4,wumabes,/wumabes/,noun,dish4,
n_dish5,mopepon,/mopepon/,noun,dish5,
n_dish6,hionat,/hjonat/,noun,dish6,
n_dish7,niutse,/njut͡se/,noun,dish7,
n_doctor,huosua,/hwoswa/,noun,doctor,
n_dog,me,/me/,noun,dog,
n_dot,tsa,/t͡sa/,noun,dot,
n_down,khok,/xok/,noun,down,
n_dress,mukne,/mukne/,noun,dress,
n_driving,bappiu,/baphju/,noun,driving,
n_durian,ba,/ba/,noun,durian,
n_dust,tideng,/tideŋ/,noun,dust,
n_east,ta,/ta/,noun,east,
n_edge,heng,/heŋ/,noun,edge,
n_elbow,moyunwu,/mojunwu/,noun,elbow,
n_embarrass,tsesgo,/t͡sesɡo/,,,
n_end,got,/ɡot/,,,
n_england,yinglan,/jiŋlan/,noun,england,
n_evening,lokhi,/loxi/,noun,evening,
n_exam,diemek,/dje.mek/,noun,exam,
n_excited,khuala,/xwala/,noun,excited,
n_exterior,buk,/buk/,noun,exterior,
n_face,ngibe,/ŋibe/,,,
n_fame,muokup,/mwokup/,noun,fame,
n_fan,biegiuwing,/bjeɡjuwiŋ/,noun,fan,
n_farm,desing,/desiŋ/,noun,farm,
n_february,ratua,/ɾatwa/,noun,february,
n_feeling,ngopuo,/ŋopwo/,noun,feeling,
n_finger,hekomui,/hekomwi/,noun,finger,
n_fire,yu,/ju/,noun,fire,
n_fish,wu,/wu/,noun,fish,
n_fish_meat,wudu,/wudu/,noun,fish meat,
n_floor,totie,/totje/,noun,floor,
n_flower,khias,/xjas/,noun,flower,
n_food,engtsik,/eŋt͡sik/,noun,food,
n_foot,ro,/ɾo/,noun,foot,
n_foot(measure),pa,/pa/,noun,foot(measure),
n_forest,yi,/ji/,noun,forest,
n_friday,tsimsiu,/t͡simsju/,noun,friday,
n_friend,nope,/nope/,noun,friend,
n_front,gal,/ɡal/,noun,front,
n_fruit,swuri,/swuɾi/,,,
n_fruit0,khonggo,/xoŋo/,noun,fruit0,
n_fruit1,niugwu,/njuɡwu/,noun,fruit1,
n_fruit2,hema,/hema/,noun,fruit2,
n_fruit3,tsui,/t͡swi/,noun,fruit3,
n_fruit4,sugio,/suɡjo/,noun,fruit4,
n_fruit5,hil,/hil/,noun,fruit5,
n_fruit6,nugio,/nuɡjo/,noun,fruit6,
n_fruit7,kyinyi,/kjinji/,noun,fruit7,
n_germany,dotslang,/dot͡slaŋ/,noun,germany,
n_glass,ngokho,/ŋoxo/,noun,glass,
n_glasses,kokhengwu,/koxeŋwu/,noun,glasses,
n_gold,miedi,/mjedi/,noun,gold,
n_grass,dianem,/djanem/,noun,grass,
n_ground,tietsue,/tjet͡swe/,noun,ground,
n_guitar,gita,/ɡita/,,,
n_hair,kuguok,/kuɡwok/,noun,hair,
n_half,tueng,/tweŋ/,noun,half,
n_hand,he,/he/,noun,hand,
n_happy,topi,/topi/,noun,happy,
n_hat,nontsuongsua,/nont͡swoŋswa/,noun,hat,
n_head,sat,/sat/,noun,head,
n_health,tyine,/tjine/,noun,health,
n_heat,tsop,/t͡sop/,noun,heat,
n_height,de,/de/,noun,height,
n_heptagon,nultsin,/nult͡sin/,noun,heptagon,
n_hexagon,sumtsin,/sumt͡sin/,noun,hexagon,
n_hill,si,/si/,noun,hill,
n_hole,taki,/taki/,noun,hole,
n_home,ngatsak,/ŋat͡sak/,noun,home,
n_horse,sel,/sel/,noun,horse,
n_hospital,luhuolo,/luhwolo/,noun,hospital,
n_hotel,buisyi,/bwisji/,noun,hotel,
n_house,kali,/kali/,noun,house,
n_ice,pui,/pwi/,noun,ice,
n_image,pikhial,/pixjal/,noun,image,
n_inch,muin,/mwin/,noun,inch,
n_ingredient0,tsonggang,/t͡soŋaŋ/,noun,ingredient0,
n_ingredient1,nguinyo,/ŋwinjo/,noun,ingredient1,
n_ingredient2,swune,/swune/,noun,ingredient2,
n_ingredient3,piunbete,/pjunbete/,noun,ingredient3,
n_ingredient4,munggol,/muŋol/,noun,ingredient4,
n_ingredient5,gekhioniu,/ɡexjonju/,noun,ingredient5,
n_ingredient6,dunngwu,/dunŋwu/,noun,ingredient6,
n_ingredient7,nuiko,/nwiko/,noun,ingredient7,
n_injury,wotgo,/wotɡo/,noun,injury,
n_inside,lengtui,/leŋtwi/,noun,inside,
n_interior,lus,/lus/,noun,interior,
n_island,du,/du/,noun,island,
n_item,bessi,/beshi/,noun,item,
n_jacket,ngidui,/ŋidwi/,noun,jacket,
n_january,metua,/metwa/,noun,january,
n_japan,ngihon,/ŋihon/,noun,japan,
n_joint,yunwu,/junwu/,noun,joint,
n_july,nultua,/nultwa/,noun,july,
n_june,sumtua,/sumtwa/,noun,june,
n_keyboard,wewagak,/wewaɡak/,noun,keyboard,
n_kilogram,re,/ɾe/,noun,kilogram,
n_knee,hueyunwu,/hwejunwu/,noun,knee,
n_knife,kal,/kal/,noun,knife,
n_korea,hangguk,/haŋuk/,noun,korea,
n_lake,hot,/hot/,noun,lake,
n_lamp,kumtio,/kumtjo/,noun,lamp,
n_laptop,kuakhoke,/kwaxoke/,noun,laptop,
n_law,teye,/teje/,noun,law,
n_lawyer,teyetui,/tejetwi/,noun,lawyer,
n_leaf,buip,/bwip/,noun,leaf,
n_left,tsepyi,/t͡sepji/,noun,left,
n_leg,hue,/hwe/,noun,leg,
n_legume0,yomuo,/jomwo/,noun,legume0,
n_legume1,khuetsi,/xwet͡si/,noun,legume1,
n_legume2,guetmi,/ɡwetmi/,noun,legume2,
n_legume3,nunes,/nunes/,noun,legume3,
n_legume4,nokmwupo,/nokmwupo/,noun,legume4,
n_legume5,sobemin,/sobemin/,noun,legume5,
n_legume6,hekokhen,/hekoxen/,noun,legume6,
n_legume7,nguingge,/ŋwiŋe/,noun,legume7,
n_library,tuotu,/twotu/,noun,library,
n_light,syipa,/sjipa/,noun,light,
n_line,tam,/tam/,noun,line,
n_lion,dyimie,/djimje/,noun,lion,
n_location,pakuon,/pakwon/,noun,location,
n_makeup,kiari,/kjaɾi/,noun,makeup,
n_manager,tumkhellotui,/tumxelhotwi/,noun,manager,
n_managing,tumkhello,/tumxelho/,noun,managing,
n_mango,no,/no/,noun,mango,
n_march,haptua,/haptwa/,noun,march,
n_market,ponkhanhel,/ponxanhel/,noun,market,
n_material,nuikiu,/nwikju/,noun,material,
n_may,tsimtua,/t͡simtwa/,noun,may,
n_meaning,gin,/ɡin/,noun,meaning,
n_meat,du,/du/,noun,meat,
n_medicine,ringniokuis,/ɾiŋnjokwis/,noun,medicine,
n_metal,nang,/naŋ/,noun,metal,
n_metre,bui,/bwi/,noun,metre,
n_midnight,kiosngonsose,/kjosŋonsose/,noun,midnight,
n_miliary,piusiha,/pjusiha/,noun,miliary,
n_millennium,tsipngit,/t͡sipŋit/,noun,millennium,
n_monday,mesiu,/mesju/,noun,monday,
n_month,tua,/twa/,noun,month,
n_moon,donggu,/doŋu/,noun,moon,
n_moped,kiutu,/kjutu/,noun,moped,
n_morning,niopgu,/njopɡu/,noun,morning,
n_motorcycle,dusayu,/dusaju/,noun,motorcycle,
n_mountain,khies,/xjes/,noun,mountain,
n_mouse,yogkuhio,/joquhjo/,noun,mouse,
n_nature,yihiu,/jihju/,noun,nature,
n_nearby,mel,/mel/,noun,nearby,
n_necessity,khiyo,/xijo/,noun,necessity,
n_neck,satiunwu,/satjunwu/,noun,neck,
n_neighbourhood,nguiha,/ŋwiha/,noun,neighbourhood,
n_nervous,mihui,/mihwi/,noun,nervous,
n_network,biosia,/bjosja/,noun,network,
n_nighttime,sose,/sose/,noun,nighttime,
n_noise,tsoknuo,/t͡soknwo/,noun,noise,
n_noodle,die,/dje/,noun,noodle,
n_noon,kiosngontowa,/kjosŋontowa/,noun,noon,
n_north,tuo,/two/,noun,north,
n_november,mewittua,/mewittwa/,noun,november,
n_null,ko,/ko/,noun,(null/dummy nominal),
n_number,huo,/hwo/,noun,number,
n_numeral,gugku,/ɡuqu/,noun,numeral,
n_nurse,buasmo,/bwasmo/,noun,nurse,
n_obligation,kiure,/kjuɾe/,noun,obligation,
n_occupation,khangwi,/xaŋwi/,noun,occupation,
n_occupation0,ritsatui,/ɾit͡satwi/,noun,occupation0,
n_occupation1,khuilotui,/xwilotwi/,noun,occupation1,
n_occupation2,piawitui,/pjawitwi/,noun,occupation2,
n_occupation3,todiomtui,/todjomtwi/,noun,occupation3,
n_occupation4,hiaptiptui,/hjaptiptwi/,noun,occupation4,
n_occupation5,nokyitui,/nokjitwi/,noun,occupation5,
n_occupation6,khakitui,/xakitwi/,noun,occupation6,
n_occupation7,yikhwuttui,/jixwuttwi/,noun,occupation7,
n_occupational_task0,ritsa,/ɾit͡sa/,noun,occupational task0,
n_occupational_task1,khuilo,/xwilo/,noun,occupational task1,
n_occupational_task2,piawi,/pjawi/,noun,occupational task2,
n_occupational_task3,todiom,/todjom/,noun,occupational task3,
n_occupational_task4,hiaptip,/hjaptip/,noun,occupational task4,
n_occupational_task5,nokyi,/nokji/,noun,occupational task5,
n_occupational_task6,khaki,/xaki/,noun,occupational task6,
n_occupational_task7,yikhwut,/jixwut/,noun,occupational task7,
n_ocean,nionus,/njonus/,noun,ocean,
n_octagon,ngattsin,/ŋatt͡sin/,noun,octagon,
n_october,wittua,/wittwa/,noun,october,
n_office,khakhungwo,/xaxuŋwo/,noun,office,
n_organization,tsusawa,/t͡susawa/,noun,organization,
n_outer_space,wikhu,/wixu/,noun,outer space,
n_outside,mipyi,/mipji/,noun,outside,
n_pain,tsuotsan,/t͡swot͡san/,noun,pain,
n_panty,tere,/teɾe/,noun,panty,
n_paper,pioga,/pjoɡa/,noun,paper,
n_park,khuoba,/xwoba/,noun,park,
n_part,gieptiu,/ɡjeptju/,noun,part,
n_pattern,polnua,/polnwa/,noun,pattern,
n_pearl,otmo,/otmo/,noun,pearl,
n_pen,niuhia,/njuhja/,noun,pen,
n_pencil,hangswul,/haŋswul/,noun,pencil,
n_pentagon,tsimtsin,/t͡simt͡sin/,noun,pentagon,
n_permission,tuilbiam,/twilbjam/,noun,permission,
n_person,tui,/twi/,noun,person,
n_piano,piano,/pjano/,,,
n_piece,sadue,/sa.dwe/,noun,piece,
n_pig,pires,/piɾes/,noun,pig,
n_plane,tse,/t͡se/,noun,plane,
n_planet,khe,/xe/,noun,planet,
n_plant,hukhue,/hu.xwe/,noun,plant,
n_plastic,yatop,/jatop/,noun,plastic,
n_pocket,tswuli,/t͡swuli/,noun,pocket,
n_point,kia,/kja/,noun,point,
n_police_officer,khwunduitui,/xwundwitwi/,noun,police officer,
n_policing,khwundui,/xwundwi/,noun,policing,
n_pork,piresdu,/piɾesdu/,noun,pork,
n_potential,khedu,/xedu/,noun,potential,
n_pound,ti,/ti/,noun,pound,
n_protein0,tudu,/tudu/,noun,protein0,
n_protein1,khedu,/xedu/,noun,protein1,
n_protein2,ngikyidu,/ŋikjidu/,noun,protein2,
n_protein3,gkodu,/qodu/,noun,protein3,
n_protein4,nuidu,/nwidu/,noun,protein4,
n_protein5,gedu,/ɡedu/,noun,protein5,
n_protein6,dedu,/dedu/,noun,protein6,
n_protein7,khyitwudu,/xjitwudu/,noun,protein7,
n_question,yektsam,/jekt͡sam/,noun,question,
n_radio,monkibuk,/monkibuk/,noun,radio,
n_rain,ge,/ɡe/,noun,rain,
n_rainbow,gesyip,/ɡesjip/,noun,rainbow,
n_recently,ngingwi,/ŋiŋwi/,,recently,
n_receptionist,tsusawatui,/t͡susawatwi/,noun,receptionist,
n_recommendation,toppwu,/tophwu/,noun,recommendation,
n_rectangle,moltsin,/molt͡sin/,noun,rectangle,
n_region,khabie,/xabje/,noun,region,
n_reporter,lenutui,/lenutwi/,noun,reporter,
n_reporting,lenu,/lenu/,noun,reporting,
n_restaurant,pukhia,/puxja/,noun,restaurant,
n_rice,me,/me/,noun,rice,
n_right,nihik,/nihik/,noun,right,
n_river,pakia,/pakja/,noun,river,
n_road,bui,/bwi/,noun,road,
n_room,gko,/qo/,noun,room,
n_root,rete,/ɾete/,noun,root,
n_sad,giakhyi,/ɡjaxji/,noun,sad,
n_safety,puohie,/pwohje/,noun,safety,
n_sailboat,sitki,/sitki/,noun,sailboat,
n_sand,tsatsa,/t͡sat͡sa/,noun,sand,
n_saturday,sumsiu,/sumsju/,noun,saturday,
n_school,nyihenuo,/njihenwo/,noun,school,
n_screen,tsungmiopep,/t͡suŋmjopep/,noun,screen,
n_sea,gip,/ɡip/,noun,sea,
n_seed,gosi,/ɡosi/,noun,seed,
n_semelfactive,soha,/soha/,noun,semelfactive,
n_september,bestua,/bestwa/,noun,september,
n_shape,hie,/hje/,noun,shape,
n_ship,kop,/kop/,noun,ship,
n_shirt,nguotuowe,/ŋwotwowe/,noun,shirt,
n_shoes,tobita,/tobita/,noun,shoes,
n_shop,kopi,/kopi/,noun,shop,
n_shorts,hogate,/hoɡate/,noun,shorts,
n_side,tsin,/t͡sin/,noun,side,
n_silver,lipdu,/lipdu/,noun,silver,
n_skirt,binguohe,/biŋwohe/,noun,skirt,
n_sky,lukho,/luxo/,noun,sky,
n_sleepy,ngomo,/ŋomo/,,,
n_snow,dekho,/dexo/,noun,snow,
n_soil,go,/ɡo/,noun,soil,
n_soldier,piusihatui,/pjusihatwi/,noun,soldier,
n_sound,lappyi,/laphji/,noun,sound,
n_south,tia,/tja/,noun,south,
n_space,tio,/tjo/,noun,space,
n_speech,tsek,/t͡sek/,noun,speech,
n_spot,nge,/ŋe/,noun,spot,
n_square,ni,/ni/,noun,square,
n_star,wus,/wus/,noun,star,
n_start,tsitsak,/t͡sit͡sak/,,,
n_state,ngakhan,/ŋaxan/,noun,state,
n_station,nguikyi,/ŋwikji/,noun,station,
n_sticker,muebyitseng,/mwebjit͡seŋ/,noun,sticker,
n_stone,hobe,/hobe/,noun,stone,
n_stop,ho,/ho/,noun,stop,
n_straight,tego,/teɡo/,noun,straight,
n_street,lot,/lot/,noun,street,
n_student,khulitui,/xulitwi/,noun,student,
n_studying,khuli,/xuli/,noun,studying,
n_subway,tesdo,/tesdo/,noun,subway,
n_suit,bobiu,/bobju/,noun,suit,
n_sun,khin,/xin/,noun,sun,
n_sunday,nulsiu,/nulsju/,noun,sunday,
n_surrounding,bik,/bik/,noun,surrounding,
n_t-shirt,kanlokha,/kanloxa/,noun,t-shirt,
n_table,konyang,/konjaŋ/,noun,table,
n_tea,tsa,/t͡sa/,noun,tea,
n_teacher,kuissilotui,/kwishilotwi/,noun,teacher,
n_teaching,kuissilo,/kwishilo/,noun,teaching,
n_television,pwunungguol,/pwunuŋwol/,noun,television,
n_temperature,huo,/hwo/,noun,temperature,
n_thankful,khiague,/xjaɡwe/,noun,thankful,
n_theater,kiemkhie,/kjemxje/,noun,theater,
n_thesedays,kulyi,/kulji/,,,
n_thought,bip,/bip/,noun,thought,
n_thursday,molsiu,/molsju/,noun,thursday,
n_ticket,to,/to/,noun,ticket,
n_time,dotngua,/dotŋwa/,noun,time,
n_toast,tosto,/tosto/,noun,toast,
n_today,tiakbal,/tjakbal/,noun,today,
n_toe,rokomui,/ɾokomwi/,noun,toe,
n_town,wa,/wa/,noun,town,
n_townhouse,tsare,/t͡saɾe/,noun,townhouse,
n_trackpad,sietiu,/sjetju/,noun,trackpad,
n_train,gkorukpe,/qoɾukpe/,noun,train,
n_tram,khakhut,/xaxut/,noun,tram,
n_transportation,miewa,/mjewa/,noun,transportation,
n_tree,pium,/pjum/,noun,tree,
n_triangle,haptsin,/hapt͡sin/,noun,triangle,
n_trousers,nenhigwu,/nenhiɡwu/,noun,trousers,
n_tuesday,rasiu,/ɾasju/,noun,tuesday,
n_underwear,nuolsiude,/nwolsjude/,noun,underwear,
n_university,wukigis,/wukiɡis/,noun,university,
n_up,hop,/hop/,noun,up,
n_valley,bingya,/biŋja/,noun,valley,
n_vegetable0,songwo,/soŋwo/,noun,vegetable0,
n_vegetable1,sotsari,/sot͡saɾi/,noun,vegetable1,
n_vegetable2,hahiere,/hahjeɾe/,noun,vegetable2,
n_vegetable3,byimwu,/bjimwu/,noun,vegetable3,
n_vegetable4,wobomkhop,/wobomxop/,noun,vegetable4,
n_vegetable5,ngepyim,/ŋepjim/,noun,vegetable5,
n_vegetable6,sowotuep,/sowotwep/,noun,vegetable6,
n_vegetable7,torokmia,/toɾokmja/,noun,vegetable7,
n_vietnam,bietnam,/bjetnam/,noun,vietnam,
n_waist,wapkuo,/wapkwo/,noun,waist,
n_waiter,kekhokka,/kexokha/,noun,waiter,
