a_alittle,wa
n_cellphone,kottwu
n_centimetre,ro
n_centre,kiosngon
n_century,yunggit
n_chair,rahiu
n_chicken,khu
n_chicken_meat,khudu
n_china,tsongguk
n_circle,ro
n_city,khua
n_clay,pwumki
n_clock,tuimyima
n_clothing,si
n_cloud,piseng
n_coat,katuanuil
n_coffee,kohi
n_cold,tuwong
n_college,nedotsuan
n_comfort,gonpyi
n_common,rukhe
n_community,ka
n_computer,hanluto
n_computer_program,nubiakhyin
n_condo,ngekhi
n_copper,puekhogue
n_corner,gie
n_corridor,kuawi
n_cost,langui
n_court,ngoso
n_cow,lepgkus
n_danger,bappiu
n_dark,letie
n_date,nuenu
n_day,siu
n_daytime,towa
n_decade,witngit
n_december,rawittua
n_delicacy0,mepuska
n_delicacy1,mieremui
n_delicacy2,sedyisias
n_delicacy3,minggilung
n_desire,buogiu
n_desk,ngopa
n_diamond,weguoyek
n_digit,komui
n_dimension,khari
n_direction,khyipuk
n_dish0,nuelin
n_dish1,kemwunan
n_dish2,miehim
n_dish3,mesgkogi
n_dish4,wumabes
n_dish5,mopepon
n_dish6,hionat
n_dish7,niutse
n_doctor,huosua
n_dog,me
n_dot,tsa
n_down,khok
n_dress,mukne
n_driving,bappiu
n_durian,ba
n_dust,tideng
n_east,ta
n_edge,heng
n_elbow,moyunwu
n_embarrass,tsesgo
n_end,got
n_england,yinglan
n_evening,lokhi
n_exam,diemek
n_excited,khuala
n_exterior,buk
n_face,ngibe
n_fame,muokup
n_fan,biegiuwing
n_farm,desing
n_february,ratua
n_feeling,ngopuo
n_finger,hekomui
n_fire,yu
n_fish,wu
n_fish_meat,wudu
n_floor,totie
n_flower,khias
n_food,engtsik
n_foot,ro
n_foot(measure),pa
n_forest,yi
n_friday,tsimsiu
n_friend,nope
n_front,gal
n_fruit,swuri
n_fruit0,khonggo
n_fruit1,niugwu
n_fruit2,hema
n_fruit3,tsui
n_fruit4,sugio
n_fruit5,hil
n_fruit6,nugio
n_fruit7,kyinyi
n_germany,dotslang
n_glass,ngokho
n_glasses,kokhengwu
n_gold,miedi
n_grass,dianem
n_ground,tietsue
n_guitar,gita
n_hair,kuguok
n_half,tueng
n_hand,he
n_happy,topi
n_hat,nontsuongsua
n_head,sat
n_health,tyine
n_heat,tsop
n_height,de
n_heptagon,nultsin
n_hexagon,sumtsin
n_hill,si
n_hole,taki
n_home,ngatsak
n_horse,sel
n_hospital,luhuolo
n_hotel,buisyi
n_house,kali
n_ice,pui
n_image,pikhial
n_inch,muin
n_ingredient0,tsonggang
n_ingredient1,nguinyo
n_ingredient2,swune
n_ingredient3,piunbete
n_ingredient4,munggol
n_ingredient5,gekhioniu
n_ingredient6,dunngwu
n_ingredient7,nuiko
n_injury,wotgo
n_inside,lengtui
n_interior,lus
n_island,du
n_item,bessi
n_jacket,ngidui
n_january,metua
n_japan,ngihon
n_joint,yunwu
n_july,nultua
n_june,sumtua
n_keyboard,wewagak
n_kilogram,re
n_knee,hueyunwu
n_knife,kal
n_korea,hangguk
n_lake,hot
n_lamp,kumtio
n_laptop,kuakhoke
n_law,teye
n_lawyer,teyetui
n_leaf,buip
n_left,tsepyi
n_leg,hue
n_legume0,yomuo
n_legume1,khuetsi
n_legume2,guetmi
n_legume3,nunes
n_legume4,nokmwupo
n_legume5,sobemin
n_legume6,hekokhen
n_legume7,nguingge
n_library,tuotu
n_light,syipa
n_line,tam
n_lion,dyimie
n_location,pakuon
n_makeup,kiari
n_manager,tumkhellotui
n_managing,tumkhello
n_mango,no
n_march,haptua
n_market,ponkhanhel
n_material,nuikiu
n_may,tsimtua
n_meaning,gin
n_meat,du
n_medicine,ringniokuis
n_metal,nang
n_metre,bui
n_midnight,kiosngonsose
n_miliary,piusiha
n_millennium,tsipngit
n_monday,mesiu
n_month,tua
n_moon,donggu
n_moped,kiutu
n_morning,niopgu
n_motorcycle,dusayu
n_mountain,khies
n_mouse,yogkuhio
n_nature,yihiu
n_nearby,mel
n_necessity,khiyo
n_neck,satiunwu
n_neighbourhood,nguiha
n_nervous,mihui
n_network,biosia
n_nighttime,sose
n_noise,tsoknuo
n_noodle,die
n_noon,kiosngontowa
n_north,tuo
n_november,mewittua
n_null,ko
n_number,huo
n_numeral,gugku
n_nurse,buasmo
n_obligation,kiure
n_occupation,khangwi
n_occupation0,ritsatui
n_occupation1,khuilotui
n_occupation2,piawitui
n_occupation3,todiomtui
n_occupation4,hiaptiptui
n_occupation5,nokyitui
n_occupation6,khakitui
n_occupation7,yikhwuttui
n_occupational_task0,ritsa
n_occupational_task1,khuilo
n_occupational_task2,piawi
n_occupational_task3,todiom
n_occupational_task4,hiaptip
n_occupational_task5,nokyi
n_occupational_task6,khaki
n_occupational_task7,yikhwut
n_ocean,nionus
n_octagon,ngattsin
n_october,wittua
n_office,khakhungwo
n_organization,tsusawa
n_outer_space,wikhu
n_outside,mipyi
n_pain,tsuotsan
n_panty,tere
n_paper,pioga
n_park,khuoba
n_part,gieptiu
n_pattern,polnua
n_pearl,otmo
n_pen,niuhia
n_pencil,hangswul
n_pentagon,tsimtsin
n_permission,tuilbiam
n_person,tui
n_piano,piano
n_piece,sadue
n_pig,pires
n_plane,tse
n_planet,khe
n_plant,hukhue
n_plastic,yatop
n_pocket,tswuli
n_point,kia
n_police_officer,khwunduitui
n_policing,khwundui
n_pork,piresdu
n_potential,khedu
n_pound,ti
n_protein0,tudu
n_protein1,khedu
n_protein2,ngikyidu
n_protein3,gkodu
n_protein4,nuidu
n_protein5,gedu
n_protein6,dedu
n_protein7,khyitwudu
n_question,yektsam
n_radio,monkibuk
n_rain,ge
n_rainbow,gesyip
n_recently,ngingwi
n_receptionist,tsusawatui
n_recommendation,toppwu
n_rectangle,moltsin
n_region,khabie
n_reporter,lenutui
n_reporting,lenu
n_restaurant,pukhia
n_rice,me
n_right,nihik
n_river,pakia
n_road,bui
n_room,gko
n_root,rete
n_sad,giakhyi
n_safety,puohie
n_sailboat,sitki
n_sand,tsatsa
n_saturday,sumsiu
n_school,nyihenuo
n_screen,tsungmiopep
n_sea,gip
n_seed,gosi
n_semelfactive,soha
n_september,bestua
n_shape,hie
n_ship,kop
n_shirt,nguotuowe
n_shoes,tobita
n_shop,kopi
n_shorts,hogate
n_side,tsin
n_silver,lipdu
n_skirt,binguohe
n_sky,lukho
n_sleepy,ngomo
n_snow,dekho
n_soil,go
n_soldier,piusihatui
n_sound,lappyi
n_south,tia
n_space,tio
n_speech,tsek
n_spot,nge
n_square,ni
n_star,wus
n_start,tsitsak
n_state,ngakhan
n_station,nguikyi
n_sticker,muebyitseng
n_stone,hobe
n_stop,ho
n_straight,tego
n_street,lot
n_student,khulitui
n_studying,khuli
n_subway,tesdo
n_suit,bobiu
n_sun,khin
n_sunday,nulsiu
n_surrounding,bik
n_t-shirt,kanlokha
n_table,konyang
n_tea,tsa
n_teacher,kuissilotui
n_teaching,kuissilo
n_television,pwunungguol
n_temperature,huo
n_thankful,khiague
n_theater,kiemkhie
n_thesedays,kulyi
n_thought,bip
n_thursday,molsiu
n_ticket,to
n_time,dotngua
n_toast,tosto
n_today,tiakbal
n_toe,rokomui
n_town,wa
n_townhouse,tsare
n_trackpad,sietiu
n_train,gkorukpe
n_tram,khakhut
n_transportation,miewa
n_tree,pium
n_triangle,haptsin
n_trousers,nenhigwu
n_tuesday,rasiu
n_underwear,nuolsiude
n_university,wukigis
n_up,hop
n_valley,bingya
n_vegetable0,songwo
n_vegetable1,sotsari
n_vegetable2,hahiere
n_vegetable3,byimwu
n_vegetable4,wobomkhop
n_vegetable5,ngepyim
n_vegetable6,sowotuep
n_vegetable7,torokmia
n_vietnam,bietnam
n_waist,wapkuo
n_waiter,kekhokka
n_walking,like
n_wall,kiga
n_wave,ri
n_way,yi
n_weather,dyitual
n_wednesday,hapsiu
n_weight,nuam
n_west,tia
n_whale,tlungro
n_whole,ku
n_wind,de
n_wolf,lome
n_wood,kuro
n_world,duohyi
n_worry,nagui
n_wrist,heyunwu
n_writer,tuapbupngestui
n_writing,tuapbupnges
n_year,ngit
no,dus
p_acc,ka
p_adv,ni
p_also,ki
p_but,de
p_cause,do
p_cond,ma
p_conj,ya
p_dat,si
p_disj,tsi
p_gen,tu
p_ins,yi
p_loc,bi
p_neg1,ha
p_neg2,hen
p_nom,de
p_only,tul
p_top,ngom
p_with,kat
q_class,to
qu_how,gi
qu_what,pi
qu_when,mu
qu_where,ni
qu_which,hi
qu_who,bu
qu_why,pu
t_fut,ne
t_inf,lo
t_prs,wu
t_pst,na
v_become,khe
v_bring,yakno
v_buy,mun
v_cause,nge
v_come,tsa
v_cop,ya
v_do,sa
v_drink,tukhi
v_eat,hiu
v_exist,ga
v_getup,metsis
v_give,men
v_go,yu
v_have,tiung
v_know,ngol
v_nothave,pie
v_read,wo
v_receive,tsu
v_ride,mie
v_see,die
v_sell,hel
v_sit,gu
v_sleep,ki
v_spread,muenwa
v_trim,dal
v_use,tse
yes,tsi
