key,lemma,underlying,pos,gloss,notes
n_dark,letie,/le.tje/,noun,dark,
n_date,nuenu,/nwe.nu/,noun,date,
n_day,siu,/sju/,noun,day,
n_daytime,towa,/to.wa/,noun,daytime,
n_decade,witngit,/wit.ŋit/,noun,decade,
n_december,rawittua,/ɾa.wit.twa/,noun,december,
n_delicacy0,mepuska,/me.pus.ka/,noun,delicacy0,
n_delicacy1,mieremui,/mje.ɾe.mwi/,noun,delicacy1,
n_delicacy2,sedyisyas,/se.djis.jas/,noun,delicacy2,
n_delicacy3,mingilung,/mi.ŋi.luŋ/,noun,delicacy3,
n_desire,buogiu,/bwo.gju/,noun,desire,
n_desk,ngopa,/ŋo.pa/,noun,desk,
n_diamond,weguoyek,/we.gwo.jek/,noun,diamond,
n_digit,komui,/ko.mwi/,noun,digit,
n_dimension,khari,/xa.ɾi/,noun,dimension,
n_direction,khyipuk,/xji.puk/,noun,direction,
n_dish0,nuelin,/nwe.lin/,noun,dish0,
n_dish1,kemwunan,/kem.wu.nan/,noun,dish1,
n_dish2,miehim,/mje.him/,noun,dish2,
n_dish3,mesgkogki,/mes.qo.qi/,noun,dish3,
n_dish4,wumabes,/wu.ma.bes/,noun,dish4,
n_dish5,mopepon,/mo.pe.pon/,noun,dish5,
n_dish6,hionat,/hjo.nat/,noun,dish6,
n_dish7,niutse,/nju.t͡se/,noun,dish7,
n_doctor,huosua,/hwo.swa/,noun,doctor,
n_dog,ukhu,/u.xu/,noun,dog,
n_dot,tsot,/t͡sot/,noun,dot,
n_down,khok,/xok/,noun,down,
n_dress,mukne,/muk.ne/,noun,dress,
n_driving,kiebue,/kje.bwe/,noun,driving,
n_durian,ba,/ba/,noun,durian,
n_dust,tideng,/ti.deŋ/,noun,dust,
n_east,ta,/ta/,noun,east,
n_edge,heng,/heŋ/,noun,edge,
n_elbow,moyunwu,/mo.ju.nwu/,noun,elbow,
n_embarrass,tsesgo,/t͡ses.go/,,,
n_end,got,/got/,,,
n_england,yinglan,/jiŋ.lan/,noun,england,
n_evening,lokhi,/lo.xi/,noun,evening,
n_exam,diemek,/dje.mek/,noun,exam,
n_excited,khuala,/xwal.a/,noun,excited,
n_exterior,buk,/buk/,noun,exterior,
n_face,ngibe,/ŋi.be/,noun,face,
n_fame,muokup,/mwok.up/,noun,fame,
n_fan,biegiuwing,/bje.ɡju.wiŋ/,noun,fan,
n_farm,desing,/de.siŋ/,noun,farm,
n_february,ratua,/ɾa.twa/,noun,february,
n_feeling,ngopuo,/ŋo.pwo/,noun,feeling,
n_finger,hekomui,/he.ko.mwi/,noun,finger,
n_fire,buon,/bwon/,noun,fire,
n_fish,wu,/wu/,noun,fish,
n_fish_meat,wudu,/wu.du/,noun,fish meat,
n_floor,totie,/to.tje/,noun,floor,
n_flower,khias,/xjas/,noun,flower,
n_food,engtsik,/eŋ.t͡sik/,noun,food,
n_foot,hut,/hut/,noun,foot,
n_foot(measure),pa,/pa/,noun,foot(measure),
n_forest,samak,/sa.mak/,noun,forest,
n_friday,tsimsiu,/t͡sim.sju/,noun,friday,
n_friend,nope,/no.pe/,noun,friend,
n_front,gal,/gal/,noun,front,
n_fruit,swuri,/swu.ɾi/,,,
n_fruit0,khongo,/xo.ŋo/,noun,fruit0,
n_fruit1,niugwu,/nju.gwu/,noun,fruit1,
n_fruit2,hema,/he.ma/,noun,fruit2,
n_fruit3,tsui,/t͡swi/,noun,fruit3,
n_fruit4,sugio,/su.gjo/,noun,fruit4,
n_fruit5,hil,/hil/,noun,fruit5,
n_fruit6,nugio,/nu.gjo/,noun,fruit6,
n_fruit7,kyinyi,/kjin.ji/,noun,fruit7,
n_germany,dotslang,/do.t͡slaŋ/,noun,germany,
n_glass,ngokho,/ŋo.xo/,noun,glass,
n_glasses,kokhengwu,/ko.xeŋ.wu/,noun,glasses,
n_gold,miedi,/mje.di/,noun,gold,
n_grass,dianem,/dja.nem/,noun,grass,
n_ground,tietsue,/tje.t͡swe/,noun,ground,
n_guitar,gita,/ɡi.ta/,noun,guitar,
n_hair,kuguok,/ku.gwok/,noun,hair,
n_half,tueng,/tweŋ/,noun,half,
n_hand,he,/he/,noun,hand,
n_happy,topi,/to.pi/,noun,happy,
n_hat,nontsuongsua,/non.t͡swoŋ.swa/,noun,hat,
n_head,sat,/sat/,noun,head,
n_health,tyine,/tji.ne/,noun,health,
n_heat,tsop,/t͡sop/,noun,heat,
n_height,khi,/xi/,noun,height,
n_heptagon,nultsin,/nul.t͡sin/,noun,heptagon,
n_hexagon,sumtsin,/sum.t͡sin/,noun,hexagon,
n_hill,si,/si/,noun,hill,
n_hole,taki,/ta.ki/,noun,hole,
n_home,ngatsak,/ŋa.t͡sak/,noun,home,
n_horse,sel,/sel/,noun,horse,
n_hospital,luhuolo,/lu.hwo.lo/,noun,hospital,
n_hotel,buisyi,/bwi.sji/,noun,hotel,
n_house,kali,/ka.li/,noun,house,
n_ice,pui,/pwi/,noun,ice,
n_image,pikhial,/pi.xjal/,noun,image,
n_inch,muin,/mwin/,noun,inch,
n_ingredient0,tsongang,/t͡soŋ.aŋ/,noun,ingredient0,
n_ingredient1,nguinyo,/ŋwin.jo/,noun,ingredient1,
n_ingredient2,swune,/swu.ne/,noun,ingredient2,
n_ingredient3,piunbete,/pjun.be.te/,noun,ingredient3,
n_ingredient4,mungol,/mu.ŋol/,noun,ingredient4,
n_ingredient5,gkekhioniu,/qe.xjo.nju/,noun,ingredient5,
n_ingredient6,dunngwu,/dun.ŋwu/,noun,ingredient6,
n_ingredient7,nuiko,/nwi.ko/,noun,ingredient7,
n_injury,wotgo,/wot.go/,noun,injury,
n_inside,lengtui,/leŋ.twi/,noun,inside,
n_interior,lus,/lus/,noun,interior,
n_island,du,/du/,noun,island,
n_item,bessi,/bes.hi/,noun,item,
n_jacket,ngidui,/ŋi.dwi/,noun,jacket,
n_january,metua,/me.twa/,noun,january,
n_japan,ngihon,/ŋi.hon/,noun,japan,
n_jealous,nyiluk,/njiluk/,noun,jealous,
n_joint,yunwu,/ju.nwu/,noun,joint,
n_july,nultua,/nul.twa/,noun,july,
n_june,sumtua,/sum.twa/,noun,june,
n_keyboard,wewagkak,/we.wa.qak/,noun,keyboard,
n_kilogram,re,/ɾe/,noun,kilogram,
n_knee,hueyunwu,/hwe.ju.nwu/,noun,knee,
n_knife,kal,/kal/,noun,knife,
n_korea,hanguk,/han.guk/,noun,korea,
n_lake,hot,/hot/,noun,lake,
n_lamp,kumtio,/kum.tjo/,noun,lamp,
n_laptop,kuakhoke,/kwa.xo.ke/,noun,laptop,
n_law,teye,/te.je/,noun,law,
n_lawyer,teyetui,/te.je.twi/,noun,lawyer,
n_leaf,buip,/bwip/,noun,leaf,
n_left,tsepyi,/t͡sep.ji/,noun,left,
n_leg,hue,/hwe/,noun,leg,
n_legume0,yomwo,/jom.wo/,noun,legume0,
n_legume1,khuetsi,/xwet.si/,noun,legume1,
n_legume2,guetmi,/gwet.mi/,noun,legume2,
n_legume3,nunes,/nu.nes/,noun,legume3,
n_legume4,nokmwupo,/nok.mwu.po/,noun,legume4,
n_legume5,sobemin,/so.be.min/,noun,legume5,
n_legume6,hekokhen,/he.ko.xen/,noun,legume6,
n_legume7,nguinge,/ŋwi.ŋe/,noun,legume7,
n_library,tuotu,/two.tu/,noun,library,
n_light,syipa,/sji.pa/,noun,light,
n_line,tam,/tam/,noun,line,
n_lion,dyimie,/dji.mje/,noun,lion,
n_location,pakwon,/pak.won/,noun,location,
n_makeup,kiari,/kja.ɾi/,noun,makeup,
n_manager,tumgkellotui,/tum.qel.ho.twi/,noun,manager,
n_managing,tumgkello,/tum.qel.ho/,noun,managing,
n_mango,no,/no/,noun,mango,
n_march,haptua,/hap.twa/,noun,march,
n_market,ponkhannel,/pon.xan.hel/,noun,market,
n_material,nuikiu,/nwi.kju/,noun,material,
n_may,tsimtua,/t͡sim.twa/,noun,may,
n_meaning,gin,/gin/,noun,meaning,
n_meat,du,/du/,noun,meat,
n_medicine,ringniokwis,/ɾiŋ.njok.wis/,noun,medicine,
n_metal,nang,/naŋ/,noun,metal,
n_metre,bui,/bwi/,noun,metre,
n_midnight,kiosngonsose,/kjos.ŋon.so.se/,noun,midnight,
n_miliary,piusiha,/pju.si.ha/,noun,miliary,
n_millennium,tsipngit,/t͡sip.ŋit/,noun,millennium,
n_monday,mesiu,/me.sju/,noun,monday,
n_month,tua,/twa/,noun,month,
n_moon,dongu,/do.ŋu/,noun,moon,
n_moped,mopet,/mo.pet/,noun,moped,
n_morning,niopgu,/njop.gu/,noun,morning,
n_motorcycle,motobayik,/mo.to.ba.jik/,noun,motorcycle,
n_mountain,khies,/xjes/,noun,mountain,
n_mouse,yogkuhio,/jo.qu.hjo/,noun,mouse,
n_nature,yihiu,/ji.hju/,noun,nature,
n_nearby,mel,/mel/,noun,nearby,
n_necessity,khiyo,/xi.jo/,noun,necessity,
n_neck,satyunwu,/sat.ju.nwu/,noun,neck,
n_neighbourhood,nguiha,/ŋwi.ha/,noun,neighbourhood,
n_nervous,mihui,/mi.hwi/,noun,nervous,
n_network,biosia,/bjo.sja/,noun,network,
n_nighttime,sose,/so.se/,noun,nighttime,
n_noise,tsoknuo,/t͡sok.nwo/,noun,noise,
n_noodle,die,/dje/,noun,noodle,
n_noon,kiosngontowa,/kjos.ŋon.to.wa/,noun,noon,
n_north,tuo,/two/,noun,north,
n_november,mewittua,/me.wit.twa/,noun,november,
n_null,ko,/ko/,noun,(null/dummy nominal),
n_number,tsemo,/t͡se.mo/,noun,number,
n_numeral,gugku,/gu.qu/,noun,numeral,
n_nurse,buasmo,/bwas.mo/,noun,nurse,
n_obligation,kiure,/kju.ɾe/,noun,obligation,
n_occupation,khangui,/xan.gwi/,noun,occupation,
n_occupation0,ritsatui,/ɾi.t͡sa.twi/,noun,occupation0,
n_occupation1,khuilotui,/xwi.lo.twi/,noun,occupation1,
n_occupation2,piawitui,/pja.wi.twi/,noun,occupation2,
n_occupation3,todiomtui,/to.djom.twi/,noun,occupation3,
n_occupation4,hiaptiptui,/hjap.tip.twi/,noun,occupation4,
n_occupation5,nokyitui,/nok.ji.twi/,noun,occupation5,
n_occupation6,khakitui,/xa.ki.twi/,noun,occupation6,
n_occupation7,yikhwuttui,/ji.xwut.twi/,noun,occupation7,
n_occupational_task0,ritsa,/ɾi.t͡sa/,noun,occupational task0,
n_occupational_task1,khuilo,/xwi.lo/,noun,occupational task1,
n_occupational_task2,piawi,/pja.wi/,noun,occupational task2,
n_occupational_task3,todiom,/to.djom/,noun,occupational task3,
n_occupational_task4,hiaptip,/hjap.tip/,noun,occupational task4,
n_occupational_task5,nokyi,/nok.ji/,noun,occupational task5,
n_occupational_task6,khaki,/xa.ki/,noun,occupational task6,
n_occupational_task7,yikhwut,/ji.xwut/,noun,occupational task7,
n_ocean,nionus,/njon.us/,noun,ocean,
n_octagon,ngattsin,/ŋat.t͡sin/,noun,octagon,
n_october,wittua,/wit.twa/,noun,october,
n_office,khakhungwo,/xa.xuŋ.wo/,noun,office,
n_organization,tsusawa,/t͡sus.a.wa/,noun,organization,
n_outer_space,wikhu,/wi.xu/,noun,outer space,
n_outside,mipyi,/mi.pji/,noun,outside,
n_pain,tsuotsan,/t͡swo.t͡san/,noun,pain,
n_panty,tere,/te.ɾe/,noun,panty,
n_paper,piogka,/pjo.qa/,noun,paper,
n_park,khuoba,/xwo.ba/,noun,park,
n_part,gieptiu,/gjep.tju/,noun,part,
n_pattern,polnua,/pol.nwa/,noun,pattern,
n_pearl,otmo,/ot.mo/,noun,pearl,
n_pen,niuhia,/nju.hja/,noun,pen,
n_pencil,hangswul,/haŋ.swul/,noun,pencil,
n_pentagon,tsimtsin,/t͡sim.t͡sin/,noun,pentagon,
n_permission,tuilbiam,/twil.bjam/,noun,permission,
n_person,tui,/twi/,noun,person,
n_piano,piano,/pja.no/,noun,piano,
n_piece,sadue,/sa.dwe/,noun,piece,
n_pig,pires,/pi.ɾes/,noun,pig,
n_plane,tse,/t͡se/,noun,plane,
n_planet,pielu,/pje.lu/,noun,planet,
n_plant,hukhue,/hu.xwe/,noun,plant,
n_plastic,yatop,/jat.op/,noun,plastic,
n_pocket,tswuli,/t͡swu.li/,noun,pocket,
n_point,kia,/kja/,noun,point,
n_police_officer,khwunduitui,/xwun.dwi.twi/,noun,police officer,
n_policing,khwundui,/xwun.dwi/,noun,policing,
n_pork,piresdu,/pi.ɾes.du/,noun,pork,
n_potential,khedu,/xe.du/,noun,potential,
n_pound,ti,/ti/,noun,pound,
n_protein0,tsanakdu,/t͡sa.nak.du/,noun,protein0,
n_protein1,khesadu,/xe.sa.du/,noun,protein1,
n_protein2,ngikyidu,/ŋik.ji.du/,noun,protein2,
n_protein3,gkorokodu,/qo.ɾo.ko.du/,noun,protein3,
n_protein4,nuidu,/nwi.du/,noun,protein4,
n_protein5,tsungurudu,/t͡su.ŋu.ɾu.du/,noun,protein5,
n_protein6,tsangaradu,/t͡sa.ŋa.ɾa.du/,noun,protein6,
n_protein7,khyitwudu,/xji.twu.du/,noun,protein7,
n_question,yektsam,/jek.t͡sam/,noun,question,
n_radio,monkibuk,/mon.ki.buk/,noun,radio,
n_rain,ge,/ge/,noun,rain,
n_rainbow,gesyip,/ɡe.sjip/,noun,rainbow,
n_recently,ngingui,/ŋi.ŋwi/,,recently,
n_receptionist,tsusawatui,/t͡su.sa.wa.twi/,noun,receptionist,
n_recommendation,toppwu,/top.hwu/,noun,recommendation,
n_rectangle,moltsin,/mol.t͡sin/,noun,rectangle,
n_region,khabie,/xa.bje/,noun,region,
n_reporter,lenutui,/le.nu.twi/,noun,reporter,
n_reporting,lenu,/le.nu/,noun,reporting,
n_restaurant,pukhia,/pu.xja/,noun,restaurant,
n_rice,pan,/pan/,noun,rice,
n_right,nihik,/ni.hik/,noun,right,
n_river,pakia,/pa.kja/,noun,river,
n_road,bui,/bwi/,noun,road,
n_room,tsan,/t͡san/,noun,room,
n_root,rete,/ɾe.te/,noun,root,
n_sad,giakhyi,/gja.xji/,noun,sad,
n_safety,puohie,/pwo.hje/,noun,safety,
n_sailboat,sitki,/sit.ki/,noun,sailboat,
n_sand,tsatsa,/t͡sat.sa/,noun,sand,
n_saturday,sumsiu,/sum.sju/,noun,saturday,
n_school,nyihenuo,/nji.he.nwo/,noun,school,
n_screen,tsungmiopep,/t͡suŋ.mjo.pep/,noun,screen,
n_sea,gkip,/qip/,noun,sea,
n_seed,gosi,/go.si/,noun,seed,
n_semelfactive,soha,/so.ha/,noun,semelfactive,
n_september,bestua,/bes.twa/,noun,september,
n_shape,hie,/hje/,noun,shape,
n_ship,kop,/kop/,noun,ship,
n_shirt,nguotwowe,/ŋwot.wo.we/,noun,shirt,
n_shoes,tobita,/to.bi.ta/,noun,shoes,
n_shop,kopi,/ko.pi/,noun,shop,
n_shorts,hogate,/ho.ga.te/,noun,shorts,
n_side,tson,/t͡son/,noun,side,
n_silver,lipdu,/lip.du/,noun,silver,
n_skirt,binguohe,/bi.ŋwo.he/,noun,skirt,
n_sky,lukho,/lu.xo/,noun,sky,
n_sleepy,ngomo,/ŋo.mo/,,,
n_snow,dekho,/de.xo/,noun,snow,
n_soil,go,/go/,noun,soil,
n_soldier,piusihatui,/pju.si.ha.twi/,noun,soldier,
n_sound,lappyi,/lap.hji/,noun,sound,
n_south,tiam,/tjam/,noun,south,
n_space,tio,/tjo/,noun,space,
n_speech,tsek,/t͡sek/,noun,speech,
n_spot,khet,/xet/,noun,spot,
n_square,ni,/ni/,noun,square,
n_star,wus,/wus/,noun,star,
n_start,tsitsak,/t͡si.t͡sak/,,,
n_state,ngakhan,/ŋa.xan/,noun,state,
n_station,nguikyi,/ŋwi.kji/,noun,station,
n_sticker,muebyitseng,/mwe.bji.t͡seŋ/,noun,sticker,
n_stone,hobe,/ho.be/,noun,stone,
n_stop,ho,/ho/,noun,stop,
n_straight,tego,/te.go/,noun,straight,
n_street,lot,/lot/,noun,street,
n_student,khulitui,/xu.li.twi/,noun,student,
n_studying,khuli,/xu.li/,noun,studying,
n_subway,tesdo,/tes.do/,noun,subway,
n_suit,bobiu,/bo.bju/,noun,suit,
n_sun,khin,/xin/,noun,sun,
n_sunday,nulsiu,/nul.sju/,noun,sunday,
n_surrounding,bik,/bik/,noun,surrounding,
n_t-shirt,kanlokha,/kan.lo.xa/,noun,t-shirt,
n_table,koniang,/ko.njaŋ/,noun,table,
n_tea,tsa,/t͡sa/,noun,tea,
n_teacher,kuissilotui,/kwis.hi.lo.twi/,noun,teacher,
n_teaching,kuissilo,/kwis.hi.lo/,noun,teaching,
n_television,pwununguol,/pwu.nu.ŋwol/,noun,television,
n_temperature,huo,/hwo/,noun,temperature,
n_thankful,khiague,/xja.gwe/,noun,thankful,
n_theater,kiemkhie,/kjem.xje/,noun,theater,
n_thesedays,kulyi,/kul.ji/,,,
n_thought,bip,/bip/,noun,thought,
n_thursday,molsiu,/mol.sju/,noun,thursday,
n_ticket,to,/to/,noun,ticket,
